state,year,expenditure
HI,2018,297975000
ID,2018,171053000
IL,2018,2570270000
IN,2018,1505426000
IA,2018,885861000
KS,2018,640735000
KY,2018,596532000
LA,2018,744283000
ME,2018,128500000
MD,2018,4167470000
MA,2018,4059931000
MI,2018,2781359000
MN,2018,999660000
MS,2018,479431000
MO,2018,1260217000
MT,2018,230099000
NE,2018,535911000
NV,2018,260074000
NH,2018,471347000
NJ,2018,1350470000
NM,2018,369927000
NY,2018,6633634000
NC,2018,3204297000
ND,2018,255534000
OH,2018,2370346000
OK,2018,517283000
OR,2018,820988000
PA,2018,4406037000
RI,2018,368079000
SC,2018,736318000
SD,2018,115860000
TN,2018,1293909000
TX,2018,5622830000
UT,2018,812458000
VT,2018,131670000
VA,2018,1684274000
WA,2018,1779849000
WV,2018,211695000
WI,2018,1542080000
WY,2018,113063000
AS,2018,0
GU,2018,11225000
PR,2018,103935000
,2018,11957000
AL,2019,1123491000
AK,2019,169296000
AZ,2019,1434177000
AR,2019,364781000
CA,2019,10478948000
CO,2019,1622011000
CT,2019,1387319000
DE,2019,229287000
DC,2019,664872000
FL,2019,2682412000
GA,2019,2650343000
HI,2019,301419000
ID,2019,167903000
IL,2019,2709733000
IN,2019,1661312000
IA,2019,880424000
KS,2019,703716000
KY,2019,615383000
LA,2019,778357000
ME,2019,151249000
MD,2019,4629161000
MA,2019,4305676000
MI,2019,2891267000
MN,2019,1060927000
MS,2019,535774000
MO,2019,1368942000
MT,2019,273459000
NE,2019,572488000
NV,2019,282740000
NH,2019,473061000
NJ,2019,1336562000
NM,2019,365769000
NY,2019,7075350000
NC,2019,3388360000
ND,2019,263217000
OH,2019,2499431000
OK,2019,533785000
OR,2019,863844000
PA,2019,4649772000
RI,2019,390575000
SC,2019,742924000
SD,2019,118377000
TN,2019,1337211000
TX,2019,5970929000
UT,2019,924632000
VT,2019,138716000
VA,2019,1814048000
WA,2019,1805214000
WV,2019,212963000
WI,2019,1659741000
WY,2019,80353000
AS,2019,860000
GU,2019,12249000
PR,2019,121074000
,2019,12236000
AL,2020,1186697000
AK,2020,177537000
AZ,2020,1499135000
AR,2020,370782000
CA,2020,10903554000
CO,2020,1665742000
CT,2020,1400865000
DE,2020,243550000
DC,2020,684793000
FL,2020,2694387000
GA,2020,2782005000
HI,2020,298285000
ID,2020,170595000
IL,2020,2764233000
IN,2020,1715310000
IA,2020,917407000
KS,2020,739872000
KY,2020,641301000
LA,2020,798373000
ME,2020,153262000
MD,2020,4745030000
MA,2020,4389620000
MI,2020,2868417000
MN,2020,1086730000
MS,2020,506660000
MO,2020,1444375000
MT,2020,290297000
NE,2020,586550000
NV,2020,296470000
NH,2020,484313000
NJ,2020,1393596000
NM,2020,376331000
NY,2020,7171446000
NC,2020,3385735000
ND,2020,267308000
OH,2020,2518803000
OK,2020,604114000
OR,2020,894789000
PA,2020,4819394000
RI,2020,395730000
SC,2020,742827000
SD,2020,110619000
TN,2020,1408786000
TX,2020,6620370000
UT,2020,950562000
VT,2020,193824000
VA,2020,1918654000
WA,2020,1827963000
WV,2020,217788000
WI,2020,1746640000
WY,2020,93061000
AS,2020,0
GU,2020,13043000
PR,2020,111101000
,2020,13631000
AL,2021,1272604000
AK,2021,196501000
AZ,2021,1516463000
AR,2021,387674000
CA,2021,11221457000
CO,2021,1746975000
CT,2021,1494357000
DE,2021,254725000
DC,2021,717928000
FL,2021,2750264000
GA,2021,2949654000
HI,2021,294913000
ID,2021,165913000
IL,2021,2914398000
IN,2021,1699302000
IA,2021,931113000
KS,2021,785055000
KY,2021,655290000
LA,2021,830787000
ME,2021,165224000
MD,2021,4914256000
MA,2021,4556451000
MI,2021,2843639000
MN,2021,1115363000
MS,2021,491172000
MO,2021,1582870000
MT,2021,330081000
NE,2021,589184000
NV,2021,308745000
NH,2021,498518000
NJ,2021,1352770000
NM,2021,473020000
NY,2021,7577235000
NC,2021,3504060000
ND,2021,307556000
OH,2021,2788160000
OK,2021,623319000
OR,2021,929355000
PA,2021,4933707000
RI,2021,425750000
SC,2021,753287000
SD,2021,100534000
TN,2021,1624957000
TX,2021,6849522000
UT,2021,993876000
VT,2021,198247000
VA,2021,1942260000
WA,2021,1882879000
WV,2021,231347000
WI,2021,1771499000
WY,2021,93202000
AS,2021,815000
GU,2021,17666000
PR,2021,123707000
,2021,15231000
AL,2022,1431393000
AK,2022,226717000
AZ,2022,1690904000
AR,2022,416507000
CA,2022,12107605000
CO,2022,1898797000
CT,2022,1587047000
DE,2022,397123000
DC,2022,783163000
FL,2022,3048253000
GA,2022,3260128000
HI,2022,301272000
ID,2022,179835000
IL,2022,3160587000
IN,2022,1872200000
IA,2022,1005800000
KS,2022,882644000
KY,2022,733242000
LA,2022,941868000
ME,2022,191739000
MD,2022,5168958000
MA,2022,4837383000
MI,2022,3082410000
MN,2022,1241862000
MS,2022,565341000
MO,2022,1708351000
MT,2022,340611000
NE,2022,626792000
NV,2022,312714000
NH,2022,551187000
NJ,2022,1516963000
NM,2022,543867000
NY,2022,8280323000
NC,2022,3870874000
ND,2022,322621000
OH,2022,3079902000
OK,2022,650977000
OR,2022,1001028000
PA,2022,5454961000
RI,2022,458694000
SC,2022,805510000
SD,2022,117368000
TN,2022,1715468000
TX,2022,7440455000
UT,2022,1062475000
VT,2022,218910000
VA,2022,2117336000
WA,2022,1972326000
WV,2022,248022000
WI,2022,1966266000
WY,2022,139764000
AS,2022,0
GU,2022,20481000
PR,2022,103245000
,2022,20259000
