,Field2,Field1,Field,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Field3
31,Bioengineering and biomedical engineering,Engineering,Bioengineering and biomedical engineering,745277000,817389000,871917000,884421000,951058000,1003096000,1085832000,1220680000,1343570000,1450833000,1469689000,1560170000,1726307000,
32,Chemical engineering,Engineering,Chemical engineering,821163000,913905000,903613000,910222000,906471000,914308000,884185000,934527000,931029000,977578000,1001519000,1024446000,1108245000,
33,Civil engineering,Engineering,Civil engineering,1106759000,1208592000,1232944000,1296972000,1256412000,1284850000,1328603000,1302314000,1354766000,1432949000,1424894000,1481973000,1647038000,
34,"Electrical, electronic, and communications engineering",Engineering,"Electrical, electronic, and communications engineering",2050292000,2206894000,2311665000,2408824000,2478216000,2492197000,2512453000,2726458000,2843755000,2937880000,3052761000,3078737000,3436892000,
35,Industrial and manufacturing engineering,Engineering,Industrial and manufacturing engineering,0,0,0,0,0,0,236678000,351081000,514775000,556355000,586908000,573923000,615228000,
36,Mechanical engineering,Engineering,Mechanical engineering,1458382000,1556892000,1550151000,1647640000,1503710000,1513951000,1434664000,1535819000,1630521000,1704961000,1813657000,1881980000,2062508000,
37,Metallurgical and materials engineering,Engineering,Metallurgical and materials engineering,703332000,738892000,757967000,812231000,1202757000,1101599000,743980000,735699000,762686000,792370000,818667000,841719000,886681000,
38,Engineering nec,Engineering,Engineering nec,1805283000,1922269000,1993410000,2084091000,2010395000,2020713000,2258764000,2113829000,1971609000,2191045000,2240755000,2396542000,2466544000,
40,Business management and business administration,Non-S&E,Business management and business administration,370015000,400376000,443079000,473157000,481154000,569570000,642167000,725255000,784333000,868051000,887853000,934362000,1081380000,
41,Communication and communications technologies,Non-S&E,Communication and communications technologies,130396000,153743000,159920000,148496000,166040000,168512000,166405000,202535000,191597000,206724000,192105000,186214000,213000000,
42,Education,Non-S&E,Education,993588000,1120766000,1233437000,1220888000,1243226000,1292178000,1340222000,1384259000,1503577000,1521635000,1607383000,1615608000,1740784000,
43,Humanities,Non-S&E,Humanities,260374000,313032000,339633000,386736000,402173000,430058000,443588000,493092000,504569000,538544000,564529000,560815000,713685000,
44,Law,Non-S&E,Law,98109000,124779000,131514000,173479000,149235000,174692000,184334000,223819000,266344000,255789000,267866000,282710000,358693000,
45,Social work,Non-S&E,Social work,177331000,194667000,199046000,212323000,225897000,214205000,211546000,235292000,245110000,285635000,306371000,319608000,363079000,
46,Visual and performing arts,Non-S&E,Visual and performing arts,68717000,77358000,84596000,87291000,95837000,100681000,133845000,124904000,137154000,158962000,174607000,178422000,224572000,
47,Non-S&E nec,Non-S&E,Non-S&E nec,800529000,901655000,938801000,932426000,664583000,663781000,1011326000,911770000,1009469000,1019528000,1035254000,1036544000,1162415000,
